type,weaknesses,resistances,immunities
Fire,Water;Ground;Rock,Fire;Grass;Ice;Bug;Steel;Fairy,
Water,Electric;Grass,Fire;Water;Ice;Steel,
Electric,Ground,Electric;Flying;Steel,
Grass,Fire;Ice;Poison;Flying;Bug,Water;Electric;Grass;Ground,
Normal,Fighting,,Ghost
Ghost,Ghost;Dark,Poison;Bug,Normal;Fighting
Psychic,Bug;Ghost;Dark,Fighting;Psychic,
Fighting,Flying;Psychic;Fairy,Bug;Rock;Dark,
Rock,Water;Grass;Fighting;Ground;Steel,Normal;Fire;Poison;Flying,
Ground,Water;Grass;Ice,Poison;Rock,Electric
Ice,Fire;Fighting;Rock;Steel,Ice,
Dragon,Ice;Dragon;Fairy,Fire;Water;Electric;Grass,
Dark,Fighting;Bug;Fairy,Ghost;Dark,Psychic
Steel,Fire;Fighting;Ground,Normal;Grass;Ice;Flying;Psychic;Bug;Rock;Dragon;Steel;Fairy,Poison
Fairy,Poison;Steel,Fighting;Bug;Dark,Dragon
Poison,Ground;Psychic,Grass;Fighting;Poison;Bug;Fairy,
Flying,Electric;Ice;Rock,Grass;Fighting;Bug,Ground
Bug,Fire;Flying;Rock,Grass;Fighting;Ground,
